strategy,signal_time,entry_time,exit_time,entry_price,exit_price,sl,target,shares,pnl,exit_reason,symbol
VWLM,2025-10-06 08:00:00+05:30,2025-10-06 12:00:00+05:30,2025-10-14 12:00:00+05:30,144.74,139.25975,139.25975,155.7005,690,-3781.3725000000086,SL,MRPL
VWLM,2025-10-06 08:00:00+05:30,2025-10-06 12:00:00+05:30,2025-10-16 12:00:00+05:30,427.3,442.81,419.545,442.81,234,3629.339999999998,TARGET,KOTAKBANK
VWLM,2025-10-06 08:00:00+05:30,2025-10-06 12:00:00+05:30,2025-10-30 12:00:00+05:30,127.11,133.74450000000002,123.79275,133.74450000000002,786,5214.717000000013,TARGET,CANBK
VWLM,2025-10-06 08:00:00+05:30,2025-10-06 12:00:00+05:30,2025-10-08 08:00:00+05:30,909.0,892.05375,892.05375,942.8924999999999,110,-1864.087499999996,SL,LICI
VWLM,2025-10-06 08:00:00+05:30,2025-10-06 12:00:00+05:30,2025-10-09 12:00:00+05:30,519.0,545.82,505.59,545.82,192,5149.44000000001,TARGET,HEG
VWLM,2025-10-06 08:00:00+05:30,2025-10-06 12:00:00+05:30,2025-11-03 08:00:00+05:30,260.0,275.8775,252.06125,275.8775,384,6096.959999999999,TARGET,LTF
VWLM,2025-10-06 08:00:00+05:30,2025-10-06 12:00:00+05:30,2025-10-23 08:00:00+05:30,31.1,32.876000000000005,30.212,32.876000000000005,3215,5709.840000000011,TARGET,UCOBANK
VWLM,2025-10-06 08:00:00+05:30,2025-10-06 12:00:00+05:30,2025-10-14 12:00:00+05:30,56.95,55.322500000000005,55.322500000000005,60.205000000000005,1755,-2856.262499999996,SL,MAHABANK
VWLM,2025-10-06 08:00:00+05:30,2025-10-06 12:00:00+05:30,2025-10-09 08:00:00+05:30,670.0,712.5175,648.74125,712.5175,149,6335.107500000006,TARGET,ASTERDM
VWLM,2025-10-06 08:00:00+05:30,2025-10-06 12:00:00+05:30,2025-10-07 08:00:00+05:30,790.35,841.02,765.015,841.02,126,6384.419999999995,TARGET,CHENNPETRO
