strategy,signal_time,entry_time,exit_time,entry_price,exit_price,sl,target,shares,pnl,exit_reason,symbol
VWLM,2025-10-08 08:00:00+05:30,2025-10-08 12:00:00+05:30,2025-10-15 12:00:00+05:30,1096.6,1157.6799999999998,1066.06,1157.6799999999998,91,5558.279999999993,TARGET,360ONE
VWLM,2025-10-09 12:00:00+05:30,2025-10-10 08:00:00+05:30,2025-10-13 12:00:00+05:30,2335.0,2478.6850000000004,2263.1575,2478.6850000000004,42,6034.770000000017,TARGET,BSE
VWLM,2025-10-16 12:00:00+05:30,2025-10-17 08:00:00+05:30,2025-10-27 12:00:00+05:30,1448.6,1417.3174999999999,1417.3174999999999,1511.165,69,-2158.492500000002,SL,ASTRAL
VWLM,2025-10-16 12:00:00+05:30,2025-10-17 08:00:00+05:30,2025-10-20 12:00:00+05:30,1412.0,1395.1025,1395.1025,1445.795,70,-1182.8250000000025,SL,ICICIBANK
VWLM,2025-10-23 08:00:00+05:30,2025-10-23 12:00:00+05:30,2025-11-04 08:00:00+05:30,500.75,525.0425,488.60375,525.0425,199,4834.207500000004,TARGET,KALYANKJIL
VWLM,2025-10-23 08:00:00+05:30,2025-10-23 12:00:00+05:30,2025-10-27 08:00:00+05:30,469.2,458.91375,458.91375,489.7725,213,-2190.971249999999,SL,VBL
VWLM,2025-10-29 08:00:00+05:30,2025-10-29 12:00:00+05:30,2025-11-06 08:00:00+05:30,1080.7,1054.06,1054.06,1133.98,92,-2450.880000000009,SL,JINDALSTEL
VWLM,2025-11-21 08:00:00+05:30,2025-11-21 12:00:00+05:30,2025-11-25 08:00:00+05:30,1145.6,1113.6274999999998,1113.6274999999998,1209.5449999999998,87,-2781.6075000000073,SL,360ONE
VWLM,2025-11-28 08:00:00+05:30,2025-11-28 12:00:00+05:30,2025-12-03 08:00:00+05:30,485.65,476.33875,476.33875,504.2725,205,-1908.8062499999944,SL,VBL
VWLM,2025-12-12 12:00:00+05:30,2025-12-15 08:00:00+05:30,2025-12-16 12:00:00+05:30,2836.7,2793.41,2793.41,2923.2799999999997,35,-1515.1499999999987,SL,GRASIM
VWLM,2025-12-30 12:00:00+05:30,2025-12-31 08:00:00+05:30,2025-12-31 08:00:00+05:30,6499.5,6391.5,6371.7375,6755.025,15,-1620.0,EMA_REVERSAL,DIVISLAB
VWLM,2026-01-01 08:00:00+05:30,2026-01-01 12:00:00+05:30,2026-01-09 12:00:00+05:30,3747.2,3691.1299999999997,3691.1299999999997,3859.3399999999997,26,-1457.8200000000043,SL,M&M
VWLM,2026-01-01 12:00:00+05:30,2026-01-02 08:00:00+05:30,2026-01-06 08:00:00+05:30,365.2,379.3375,358.13124999999997,379.3375,273,3859.5374999999967,TARGET,PFC
VWLM,2026-01-02 08:00:00+05:30,2026-01-02 12:00:00+05:30,2026-01-08 08:00:00+05:30,858.55,840.71875,840.71875,894.2125,116,-2068.4249999999947,SL,INDIANB
VWLM,2026-01-06 12:00:00+05:30,2026-01-07 08:00:00+05:30,2026-01-09 08:00:00+05:30,6680.0,6547.1,6547.1,6945.8,14,-1860.599999999995,SL,DIVISLAB
VWLM,2026-01-14 08:00:00+05:30,2026-01-14 12:00:00+05:30,2026-01-16 08:00:00+05:30,244.45,238.7875,238.7875,255.77499999999998,409,-2315.962499999998,SL,ONGC
VWLM,2026-01-19 12:00:00+05:30,2026-01-20 08:00:00+05:30,2026-01-21 08:00:00+05:30,278.0,269.10875,269.10875,295.78249999999997,359,-3191.958750000005,SL,FEDERALBNK
VWLM,2026-01-28 12:00:00+05:30,2026-01-29 08:00:00+05:30,2026-01-29 12:00:00+05:30,1583.6,1531.9174999999998,1531.9174999999998,1686.965,63,-3255.9975000000077,SL,BDL
VWLM,2026-01-30 08:00:00+05:30,2026-01-30 12:00:00+05:30,2026-02-01 08:00:00+05:30,5565.0,5387.1,5387.1,5920.8,17,-3024.299999999994,SL,ABB
VWLM,2026-02-03 08:00:00+05:30,2026-02-03 12:00:00+05:30,2026-02-09 08:00:00+05:30,3241.5,3125.61,3125.61,3473.28,30,-3476.699999999996,SL,SIEMENS
VWLM,2026-02-04 08:00:00+05:30,2026-02-04 12:00:00+05:30,2026-03-02 08:00:00+05:30,1544.0,1482.2225,1482.2225,1667.555,64,-3953.7599999999948,SL,ADANIPORTS
VWLM,2026-02-06 08:00:00+05:30,2026-02-06 12:00:00+05:30,2026-02-20 08:00:00+05:30,275.24,265.60925000000003,265.60925000000003,294.5015,363,-3495.962249999992,SL,NYKAA
VWLM,2026-02-09 12:00:00+05:30,2026-02-10 08:00:00+05:30,2026-03-02 08:00:00+05:30,264.0,253.7745,253.7745,284.451,378,-3865.239000000004,SL,CROMPTON
VWLM,2026-02-12 12:00:00+05:30,2026-02-13 08:00:00+05:30,2026-03-02 08:00:00+05:30,1391.1,1357.9424999999999,1357.9424999999999,1457.415,71,-2354.1825000000017,SL,HAVELLS
VWLM,2026-02-16 08:00:00+05:30,2026-02-16 12:00:00+05:30,2026-03-02 08:00:00+05:30,1208.4,1179.96,1179.96,1265.2800000000002,82,-2332.0800000000045,SL,GODREJCP
VWLM,2026-02-24 12:00:00+05:30,2026-02-25 08:00:00+05:30,2026-02-25 08:00:00+05:30,699.35,673.265,673.265,751.52,142,-3704.070000000005,SL,PREMIERENE
VWLM,2026-02-26 12:00:00+05:30,2026-02-27 08:00:00+05:30,2026-03-02 08:00:00+05:30,2261.1,2206.2825,2206.2825,2370.735,44,-2411.970000000005,SL,MANKIND
